ext_gene,flybase_gene_id,history_direction,rebound_direction,source_file,identity_status,identity_resolution_basis,History_pos_Category,History_pos_Confidence,History_pos_Rationale,History_pos_Supporting_Refs,History_pos_Papers_w_full_text,History_pos_Queried_PMCIDs,Rebound_neg_Category,Rebound_neg_Confidence,Rebound_neg_Rationale,Rebound_neg_Supporting_Refs,Rebound_neg_Papers_w_full_text,Rebound_neg_Queried_PMCIDs,History_neg_Category,History_neg_Confidence,History_neg_Rationale,History_neg_Supporting_Refs,History_neg_Papers_w_full_text,History_neg_Queried_PMCIDs,Rebound_pos_Category,Rebound_pos_Confidence,Rebound_pos_Rationale,Rebound_pos_Supporting_Refs,Rebound_pos_Papers_w_full_text,Rebound_pos_Queried_PMCIDs
AstA-R2,FBgn0039595,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,sleep,95,"Multiple lines of evidence show AstA-R2 mediates wakefulness and that knockdown in glia or sleep-promoting dFB neurons increases daytime sleep and total sleep, indicating a clear role in sleep regulation.",PMC12410877;PMC12419797;PMC10206085;PMC9521806;PMC3152999;PMC311076,PMC12410877;PMC12419797;PMC10206085;PMC9407311;PMC9521806;PMC7837698;PMC6325008;PMC5779612;PMC3152999;PMC311076;PMC3156904,PMC12410877;PMC12419797;PMC10206085;PMC9407311;PMC9521806;PMC7837698;PMC6325008;PMC5779612;PMC3152999;PMC311076;PMC3156904,sleep,90,"Multiple studies show AstA-R2 mediates wake-promoting AstA signaling (knockdown increases sleep and alters sleep architecture). Although AstA-R2 is expressed rhythmically and in clock neurons, no clear functional circadian role is reported in the provided text.",PMC12410877;PMC12419797;PMC10206085;PMC9521806;PMC7837698;PMC3152999,PMC12410877;PMC12419797;PMC10206085;PMC9407311;PMC9521806;PMC7837698;PMC6325008;PMC5779612;PMC3152999;PMC3156904,PMC12410877;PMC12419797;PMC10206085;PMC9407311;PMC9521806;PMC7837698;PMC6325008;PMC5779612;PMC3152999;PMC3156904,,,,,,,,,,,,
bumpel,FBgn0037895,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,100,Provided text describes glial metabolic transporter roles and oogenesis defects with no mention of sleep or circadian phenotypes or regulation.,PMC8790523,PMC8790523,PMC8790523,None,90,Provided text describes a glial nutrient transporter affecting oogenesis and general behavior but gives no evidence linking bumpel to sleep or circadian regulation.,PMC8790523,PMC8790523,PMC8790523,,,,,,,,,,,,
CG33080,FBgn0053080,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,,,,,,,,,,,,,
CG41378,FBgn0085638,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,,,,,,,,,,,,,
CG7460,FBgn0036749,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,,,,,,,,,,,,,
CG7601,FBgn0027583,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,,,,,,,,,,,,,
Chrac-14,FBgn0043002,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,,,,,,,,,,,,,
Cyp28c1,FBgn0030339,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,0,No relevant references found.,,,,None,0,No relevant references found.,,,,,,,,,,,,,,,
dpr21,FBgn0260995,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,90,Reported as differentially expressed but the paper assigns no molecular function or circadian role to dpr21; it was not among genes showing significant circadian-period effects in the study.,PMC8390771,PMC7837698;PMC8390771,PMC7837698;PMC8390771,None,90,No molecular function or role in circadian regulation is reported; dpr21 was not among genes showing circadian-period phenotypes in the study.,PMC8390771,PMC7837698;PMC8390771,PMC7837698;PMC8390771,,,,,,,,,,,,
kumpel,FBgn0250757,positive,negative,History(pos)_x_Rebound(neg)_overlap_n=15genes.csv,source,,None,95,Kumpel is described as a glial Na+-coupled transporter involved in neuronal metabolism and ovarian development with no mention of sleep or circadian phenotypes. No evidence in the text links kumpel to sleep or circadian regulation.,PMC8790523,PMC8790523,PMC8790523,None,95,"Provided text describes Kumpel as a glial SLC5A transporter involved in neuronal metabolism and oogenesis, with no mention of sleep or circadian phenotypes or rhythmic regulation.",PMC8790523,PMC8790523,PMC8790523,,,,,,,,,,,,
